web-scraper-order,web-scraper-start-url,base_link,base_link-href,superficie,price,adresse,img
"1740005873-1","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-2695250","150 m2","3 500 000 CFA","Patte d'Oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695250_uploaded_image2_1602704314.jpeg""); width: 671px;"
"1740005875-2","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-16-hectares-diamniadio-2695658","160000 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695658_uploaded_image1_1602715993.jpg""); width: 671px;"
"1740005880-3","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-3000-m-cite-keur-gorgui-2695688","3000 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695688_uploaded_image1_1602716962.jpg""); width: 671px;"
"1740005884-4","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-83886-m-mbour-2696651","83886","13 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2696651_uploaded_image1_1602762205.jpg""); width: 671px;"
"1740005889-5","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300m2-sly-joseph-2696706","300","6 000 000 CFA","Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2696706_uploaded_image1_1602764051.jpg""); width: 671px;"
"1740005891-6","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-165-m2-keur-massar-2696866","165","17 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2696866_uploaded_image1_1602767323.jpg""); width: 671px;"
"1740005896-7","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-diass-2696911","225","1 700 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2696911_uploaded_image1_1602768350.jpg""); width: 671px;"
"1740005900-8","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2697352","150 m2","7 000 000 CFA","Sebikotane, Sénégal","background-image: url(""https://images.coinafrique.com/2697352_uploaded_image1_1602779661.jpg""); width: 671px;"
"1740005903-9","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-500-m-fenetre-mermoz-2697357","500","675 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2697357_uploaded_image1_1602779756.jpg""); width: 671px;"
"1740005907-10","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-ouest-foire-2697415","150","48 000 000 CFA","Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2697415_uploaded_image1_1602781189.jpg""); width: 671px;"
