web-scraper-order,web-scraper-start-url,base,base-href,superficie,nbr_pieces,nbr_salle_bain,adresse
"1740005828-1","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2045712","","","","Yoff, Dakar, Sénégal"
"1740005831-2","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vete-villa-7-pieces-380-m-almadies-2045975","380 m2","7","5","Ngor, Dakar, Sénégal"
"1740005833-3","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-kounoune-2045988","300 m2","8","5","Dakar, Sénégal"
"1740005837-4","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-4-pieces-ngor-2046521","200","3","1","Ngor, Dakar, Sénégal"
"1740005840-5","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-200-m-sacre-cur-vdn-2046570","","200 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1740005844-6","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-derkle-2046750","662 m2","3","2","Dieuppeul-Derklé, Dakar, Sénégal"
"1740005846-7","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-hlm-2047121","","180 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1740005849-8","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-mermoz-pyrotechnique-2047224","341 m2","7","4","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1740005851-9","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-golf-2047328","150 m2","3","3","Guediawaye, Dakar, Sénégal"
"1740005854-10","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-belle-villa-6-pieces-a-la-cite-air-france-ouest-foire-2047383","224 m2","6","4","Yoff, Dakar, Sénégal"
"1740005856-11","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-mermoz-2047439","","5","3","Dakar, Sénégal"
"1740005859-12","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-r1-ouest-foire-2048972","1 m2","6","3","Yoff, Dakar, Sénégal"
"1740005862-13","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2049437","","300 m2","","Dakar, Sénégal"
"1740005865-14","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2049458","","300 m2","","Dakar, Sénégal"
"1740005870-15","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-2049502","400 m2","7","4","Ouakam, Dakar, Sénégal"
"1740005874-16","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niaga-2049786","","","","Niaga, Sénégal"
"1740005878-17","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbao-2049829","","300 m2","","Niaga, Sénégal"
"1740005881-18","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-cite-africa-2050293","800 m2","5","3","Dakar Plateau, Dakar, Sénégal"
"1740005886-19","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-rufisque-2050598","200","10","7","Rufisque, Sénégal"
"1740005889-20","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-rufisque-2050623","150 m2","7","3","Medina, Dakar, Sénégal"
"1740005891-21","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-cite-sotrac-2050950","","150 m2","","Dakar, Sénégal"
"1740005895-22","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-keur-massar-unite-4-2051300","","","","Dakar, Sénégal"
"1740005900-23","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-almadies-2051348","1 m2","10","9","Ngor, Dakar, Sénégal"
"1740005902-24","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-basse-300-m-amitie-1-2051912","300","4","3","Point E, Dakar, Sénégal"
"1740005907-25","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-113-m-sicap-liberte-6-2052000","113","4","2","Sicap Liberté, Dakar, Sénégal"
"1740005911-26","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-ngor-2052043","150","3","1","Ngor, Dakar, Sénégal"
"1740005915-27","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-malika-plage-2054432","","150 m2","","Biscuiterie, Dakar, Sénégal"
"1740005920-28","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-yoff-2054880","300","5","4","Yoff, Dakar, Sénégal"
"1740005925-29","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-tivaoune-peulh-2055433","150","4","2","Guediawaye, Dakar, Sénégal"
"1740005929-30","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2055470","","150","","Pikine, Sénégal"
"1740005933-31","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-keur-massar-2055497","","150","","Keur Massar, Sénégal"
"1740005938-32","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-liberte-6-extension-2055957","","325","","Dakar, Sénégal"
"1740005942-33","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-yoff-2056100","","1","210 m2","Yoff, Dakar, Sénégal"
"1740005945-34","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-patte-doie-2056136","","150","","Patte d'oie, Dakar, Sénégal"
"1740005950-35","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-yoff-2056288","","7","7","Dakar, Sénégal"
"1740005953-36","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mbao-2057198","150 m2","4","4","Rufisque, Sénégal"
"1740005957-37","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-en-finition-10-pieces-170-m-bene-barack-2058047","170","8","4","Guediawaye, Dakar, Sénégal"
"1740005962-38","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2060774","","300 m2","","Dakar, Sénégal"
"1740005967-39","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2060815","","300 m2","","Dakar, Sénégal"
"1740005971-40","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-vlila-niague-2060839","","150 m2","","Dakar, Sénégal"
"1740005974-41","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niague-2060910","","150 m2","","Dakar, Sénégal"
"1740005980-42","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2061041","","160","","Dakar, Sénégal"
"1740005984-43","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-golf-sud-2061055","","","","Dakar, Sénégal"
"1740005988-44","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niague-lac-ros-2061059","","","","Dakar, Sénégal"
"1740005993-45","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-150m-malika-plage-2061079","","150","","Dakar, Sénégal"
"1740005997-46","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-150-m-keur-baye-fall-2061147","150 m2","2","1","Pikine, Sénégal"
"1740006002-47","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-2061413","600 m2","5","5","Mbour, Sénégal"
"1740006006-48","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-allioune-sow-2061480","","150 m2","","Guédiawaye, Dakar, Sénégal"
"1740006010-49","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-ngor-almadies-2061604","150 m2","3","3","Ngor, Dakar, Sénégal"
"1740006015-50","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2062311","","200 m2","","Dakar, Sénégal"
"1740006019-51","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-sali-2062320","","1400 m2","","Dakar, Sénégal"
"1740006024-52","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-parcelles-assainies-2062572","150 m2","8","4","Dakar, Sénégal"
